stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\Display\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.32595] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32604] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32610] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32618] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32640] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32654] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32668] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32681] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32695] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32702] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32710] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32716] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32723] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32737] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32743] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32750] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32756] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32764] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32777] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32783] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32791] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32798] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32806] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32813] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32821] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32827] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32835] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32841] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32848] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32854] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32862] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32869] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32876] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32882] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32890] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32896] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32904] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32910] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32918] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32924] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32931] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32937] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32945] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32951] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32958] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32964] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32972] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32978] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32985] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32991] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32999] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.33005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33013] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.33019] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33026] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.33032] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33040] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.33046] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33053] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33059] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33067] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33073] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33080] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.33099] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33108] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.33114] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33121] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.33127] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33135] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.33141] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33148] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.33154] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33162] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.33168] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33175] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.33181] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33189] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33195] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33203] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.33209] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33216] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.33222] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33230] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.33236] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33243] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.33249] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33274] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.33281] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33288] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.33294] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33302] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.33308] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33316] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.33322] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33336] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33345] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33351] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33359] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33365] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33372] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33378] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33386] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33392] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33400] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33406] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33413] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33420] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33427] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33433] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33441] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33447] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33454] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33468] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33474] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33481] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33488] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33495] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33502] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33522] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33530] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33537] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33543] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33551] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33559] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33567] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33573] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33581] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33587] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33594] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33602] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33609] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33615] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33623] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33629] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33636] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33643] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33650] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33656] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
